index,paper_run_id,event_time_utc,entered_at_utc,settled_at_utc,market_start_utc,market_slug,selected_outcome,entry_price,stake_usd,size_shares,settlement_value_usd,pnl_usd,cumulative_pnl_usd
21,d13e5b51-d22d-4698-9e5f-bfabecd1376c,2026-07-05 03:09:43,2026-07-05 02:59:37,2026-07-05 03:09:43,2026-07-05 03:00:00,eth-updown-5m-1783220400,Up,0.52,6.0093,11.55634615,11.55634615,5.54704615,30.1324034
22,adf11936-52c5-49e2-8702-db60530bbd90,2026-07-05 03:12:20,2026-07-05 03:04:37,2026-07-05 03:12:20,2026-07-05 03:05:00,eth-updown-5m-1783220700,Up,0.51,6.0093,11.78294118,11.78294118,5.77364118,35.90604458
23,98e3d686-e6ef-4287-9f28-2adc2e08382b,2026-07-05 03:20:22,2026-07-05 03:09:38,2026-07-05 03:20:22,2026-07-05 03:10:00,eth-updown-5m-1783221000,Up,0.49,6.0093,12.26387755,12.26387755,6.25457755,42.16062213
24,7e3e34f8-4762-44af-9d8c-104cde8e1341,2026-07-05 03:22:12,2026-07-05 03:14:37,2026-07-05 03:22:12,2026-07-05 03:15:00,eth-updown-5m-1783221300,Up,0.5,6.0093,12.0186,0,-6.0093,36.15132213
25,1d9d52d9-bcbf-413c-84d2-bdcf2c2683cc,2026-07-05 03:30:19,2026-07-05 03:19:35,2026-07-05 03:30:19,2026-07-05 03:20:00,eth-updown-5m-1783221600,Up,0.5,6.0093,12.0186,0,-6.0093,30.14202213
26,54f2f823-20a4-4827-9173-aab216e90d95,2026-07-05 03:35:24,2026-07-05 03:24:37,2026-07-05 03:35:24,2026-07-05 03:25:00,eth-updown-5m-1783221900,Up,0.53,6.0093,11.33830189,0,-6.0093,24.13272213
27,0e4ac649-d9cf-4b72-90e7-70f751db90b4,2026-07-05 03:40:29,2026-07-05 03:29:30,2026-07-05 03:40:29,2026-07-05 03:30:00,eth-updown-5m-1783222200,Up,0.55,6.0093,10.926,10.926,4.9167,29.04942213
28,1f8fc545-d7a6-427e-aeef-0a6d00de8f84,2026-07-05 03:45:27,2026-07-05 03:34:35,2026-07-05 03:45:27,2026-07-05 03:35:00,eth-updown-5m-1783222500,Up,0.54,6.0093,11.12833333,11.12833333,5.11903333,34.16845546
29,ce132fdd-c8e0-485b-a7d2-93fa0bd9f2bd,2026-07-05 03:47:18,2026-07-05 03:39:38,2026-07-05 03:47:18,2026-07-05 03:40:00,eth-updown-5m-1783222800,Up,0.49,6.0093,12.26387755,0,-6.0093,28.15915546
30,e5c15924-688b-4b97-84dd-dc4721262efd,2026-07-05 03:55:22,2026-07-05 03:44:30,2026-07-05 03:55:22,2026-07-05 03:45:00,eth-updown-5m-1783223100,Up,0.51,6.0093,11.78294118,11.78294118,5.77364118,33.93279664
