"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"SOL","30","90","45","2","11755","11490","6202","5288","265","53.9774","-1.8174","-117.5","0.5398","53.0648","8.5268","85.7027","-4.7349","64.5879","28","11","7","2","-5.2356","1.716","reject"
"SOL","30","90","50","2","10141","9924","5339","4585","217","53.7989","-2.1371","-119.2","0.538","52.8167","7.5688","91.789","-5.5822","55.7198","39","11","7","1","-6.1101","1.4152","reject"
"SOL","30","90","55","2","8710","8533","4585","3948","177","53.7326","-2.2576","-108.15","0.5373","52.6732","6.8959","98.2622","-6.2964","47.8571","38","11","7","1","-6.3784","1.3828","reject"
"SOL","30","90","60","2","7547","7408","3978","3430","139","53.6987","-2.3224","-96.4","0.537","52.5616","6.3669","104.5591","-7.1815","41.467","38","11","7","1","-5.6209","4.4879","reject"
"SOL","30","90","65","2","6608","6490","3488","3002","118","53.7442","-2.2425","-81.5","0.5374","52.5293","6.0327","110.5639","-7.7392","36.3077","43","11","7","1","-5.8421","5.6933","reject"
"SOL","30","90","70","2","5782","5679","3046","2633","103","53.6362","-2.4355","-77.45","0.5364","52.3372","5.4804","116.7149","-7.7368","31.7692","47","11","7","2","-7.8182","6.5017","reject"
"SOL","30","90","75","2","5097","5010","2661","2349","87","53.1138","-3.371","-94.5","0.5311","51.7301","4.4079","122.6434","-8.5987","28.0055","43","11","7","1","-10.1226","3.2809","reject"
"SOL","30","90","80","2","4521","4452","2380","2072","69","53.4591","-2.7588","-68.6","0.5346","51.9915","4.6161","128.3949","-8.598","24.8407","36","10","7","2","-10.4878","2.5424","reject"
"SOL","30","90","85","2","4003","3939","2113","1826","64","53.6431","-2.4277","-53.45","0.5364","52.0829","4.5729","134.3408","-9.7895","21.9945","35","10","7","2","-10.9395","1.0599","reject"
"SOL","30","90","90","2","3594","3538","1902","1636","56","53.7592","-2.2209","-43.9","0.5376","52.1131","4.472","139.6718","-9.7917","19.7473","34","10","7","1","-10.5826","1.2272","reject"
"SOL","30","90","95","2","3215","3166","1713","1453","49","54.1061","-1.6005","-28.3","0.5411","52.3664","4.6208","145.2434","-10.1612","17.6648","30","9","7","2","-11.4765","2.1256","reject"
"SOL","30","90","100","2","2871","2831","1532","1299","40","54.1152","-1.5864","-25.05","0.5412","52.2752","4.3791","150.9735","-10.2336","15.7747","28","10","7","2","-12.9609","2.6282","reject"
"SOL","30","80","0","1","52413","50465","26344","24121","1948","52.2025","-4.8973","-1411.75","0.522","51.7665","9.8956","30.8267","-0.8282","287.9835","52","14","7","0","-7.7273","-3.5317","reject"
"SOL","30","80","5","2","44955","43380","22757","20623","1575","52.4597","-4.457","-1102","0.5246","51.9895","10.2459","35.5284","-0.9745","247.0055","49","13","7","0","-7.226","-2.8763","reject"
"SOL","30","80","10","2","37911","36643","19370","17273","1268","52.8614","-3.7583","-783.65","0.5286","52.35","10.9548","40.7431","-1.1559","208.3022","53","13","7","0","-6.1286","-1.8526","reject"
"SOL","30","80","15","2","31582","30581","16274","14307","1001","53.216","-3.1407","-545.55","0.5322","52.6564","11.2481","46.416","-1.4363","173.5275","36","12","7","0","-5.5864","-1.5144","reject"
"SOL","30","80","20","2","26103","25353","13573","11780","750","53.5361","-2.5852","-371.15","0.5354","52.9216","11.2607","52.4934","-1.9108","143.4231","37","11","7","0","-4.538","-0.9275","reject"
"SOL","30","80","25","2","21583","20991","11299","9692","592","53.8278","-2.0728","-246.05","0.5383","53.1528","11.0917","58.7948","-2.3617","118.5879","30","11","7","0","-3.7235","-0.0688","reject"
"SOL","30","80","30","2","17869","17433","9396","8037","436","53.8978","-1.9551","-192.15","0.539","53.157","10.2928","65.3205","-2.8225","98.1813","29","11","7","1","-3.6618","0.7613","reject"
"SOL","30","80","35","2","14926","14575","7868","6707","351","53.9828","-1.8059","-148.25","0.5398","53.1727","9.6167","71.8064","-3.5044","82.011","33","11","7","1","-3.5277","2.2438","reject"
"SOL","30","80","40","2","12649","12365","6669","5696","284","53.9345","-1.8938","-131.75","0.5393","53.0548","8.7502","77.9923","-4.2055","69.5","32","11","7","1","-4.1845","1.4757","reject"
"SOL","30","80","45","2","10784","10552","5673","4879","232","53.7623","-2.2019","-130.6","0.5376","52.8098","7.7295","84.1508","-5.0155","59.2527","39","11","7","1","-5.1012","2.199","reject"
"SOL","30","80","50","2","9171","8980","4827","4153","191","53.7528","-2.2204","-112","0.5375","52.7202","7.1125","90.6043","-5.7208","50.3901","39","11","7","1","-5.5656","1.2397","reject"
"SOL","30","80","55","2","7890","7731","4164","3567","159","53.8611","-2.029","-88.05","0.5386","52.7482","6.7898","96.7999","-6.1985","43.3516","44","11","7","2","-5.7769","4.5282","reject"
"SOL","30","80","60","2","6859","6733","3631","3102","126","53.9284","-1.9126","-72.15","0.5393","52.7359","6.4469","102.7213","-6.4615","37.6868","42","11","7","1","-5.1247","6.4872","reject"
"SOL","30","80","65","2","5990","5887","3160","2727","103","53.6776","-2.363","-77.85","0.5368","52.4018","5.6434","108.569","-7.1373","32.9121","44","11","7","1","-7.702","7.0399","reject"
"SOL","30","80","70","2","5202","5114","2737","2377","88","53.5197","-2.6458","-75.7","0.5352","52.1506","5.0341","114.7949","-7.9001","28.5824","41","11","7","2","-8.3931","4.2468","reject"
"SOL","30","80","75","2","4559","4484","2400","2084","75","53.5236","-2.6401","-66.2","0.5352","52.0614","4.719","120.7783","-7.7933","25.0495","43","10","7","3","-10.2519","1.45","reject"
"SOL","30","80","80","2","4010","3947","2123","1824","63","53.7877","-2.1696","-47.85","0.5379","52.2294","4.7592","126.716","-8.5554","22.033","34","10","7","2","-10.7088","1.7946","reject"
"SOL","30","80","85","2","3557","3505","1888","1617","52","53.8659","-2.0318","-39.75","0.5387","52.2122","4.5775","132.3382","-8.8845","19.544","28","10","7","1","-10.6108","1.9851","reject"
"SOL","30","80","90","2","3162","3112","1676","1436","50","53.856","-2.047","-35.6","0.5386","52.1009","4.3022","137.9542","-9.6341","17.3736","31","10","7","1","-12.1212","1.6878","reject"
"SOL","30","80","95","2","2820","2779","1497","1282","41","53.8683","-2.0277","-31.45","0.5387","52.0108","4.0784","143.4771","-9.759","15.4945","31","10","7","1","-12.9817","2.8944","reject"
"SOL","30","80","100","2","2503","2467","1328","1139","36","53.8306","-2.0957","-28.85","0.5383","51.8589","3.8052","149.3108","-11.1726","13.7527","25","10","7","1","-12.6938","2.5259","reject"
"SOL","30","70","0","1","52413","50465","26326","24139","1948","52.1668","-4.9597","-1429.75","0.5217","51.7309","9.7354","28.8034","-0.7202","287.9835","48","14","7","0","-7.4422","-3.5628","reject"
"SOL","30","70","5","2","44463","42899","22489","20410","1564","52.4231","-4.5204","-1105.45","0.5242","51.9503","10.0376","33.5083","-0.8561","244.3022","51","13","7","0","-7.0388","-2.8143","reject"
"SOL","30","70","10","2","36867","35642","18898","16744","1225","53.0217","-3.4774","-705.1","0.5302","52.5033","11.4094","38.8779","-1.0448","202.5659","48","12","7","0","-6.4297","-1.1898","reject"
"SOL","30","70","15","2","30287","29341","15616","13725","946","53.2225","-3.131","-521.55","0.5322","52.6511","11.0396","44.6157","-1.3206","166.4121","34","12","7","0","-5.3862","-1.4243","reject"
"SOL","30","70","20","2","24750","24037","12878","11159","713","53.5757","-2.515","-342.35","0.5358","52.9447","11.0876","50.696","-1.7806","135.989","35","11","7","0","-4.2568","-1.1274","reject"
"SOL","30","70","25","2","20188","19661","10569","9092","527","53.7562","-2.2025","-244.55","0.5376","53.0586","10.5336","57.0821","-2.4609","110.9231","36","11","7","0","-3.5947","-0.1993","reject"
"SOL","30","70","30","2","16588","16181","8727","7454","407","53.9336","-1.8913","-172.55","0.5393","53.1648","10.0075","63.5263","-3.0345","91.1429","37","11","7","1","-3.2594","1.0143","reject"
"SOL","30","70","35","2","13767","13445","7267","6178","322","54.0498","-1.6872","-127.75","0.5405","53.2064","9.3918","69.9005","-3.5499","75.6429","37","11","7","1","-3.8908","2.4959","reject"
"SOL","30","70","40","2","11538","11286","6053","5233","252","53.6328","-2.4315","-154.3","0.5363","52.7117","7.7187","76.1836","-4.5266","63.3956","46","11","7","1","-4.9536","1.405","reject"
"SOL","30","70","45","2","9760","9553","5131","4422","207","53.7109","-2.2942","-123.15","0.5371","52.7097","7.254","82.3263","-4.9058","53.6264","43","11","7","1","-4.5771","0.1295","reject"
"SOL","30","70","50","2","8246","8077","4382","3695","169","54.2528","-1.3307","-60.35","0.5425","53.1646","7.6442","88.7332","-5.3218","45.3077","40","11","7","2","-4.7389","2.0705","reject"
"SOL","30","70","55","2","7067","6932","3766","3166","135","54.3278","-1.1989","-46.6","0.5433","53.153","7.2065","94.7896","-5.5745","38.8297","42","11","7","3","-5.1292","2.9075","reject"
"SOL","30","70","60","2","6086","5976","3237","2739","110","54.1667","-1.4878","-49.8","0.5417","52.9011","6.442","100.8155","-6.2124","33.4396","40","10","7","2","-7.5475","2.3268","reject"
"SOL","30","70","65","2","5233","5148","2772","2376","85","53.8462","-2.0638","-59.4","0.5385","52.482","5.5192","107.0808","-6.4755","28.7527","36","10","7","1","-6.9497","1.2647","reject"
"SOL","30","70","70","2","4564","4491","2395","2096","73","53.3289","-2.9898","-75.05","0.5333","51.8675","4.4617","112.8909","-7.2575","25.0769","43","10","7","1","-9.5911","0.3108","reject"
"SOL","30","70","75","2","3949","3889","2092","1797","60","53.7927","-2.1617","-46.95","0.5379","52.2228","4.7305","119.2041","-8.0042","21.6978","39","10","7","1","-10.6907","2.1048","reject"
"SOL","30","70","80","2","3475","3423","1838","1585","52","53.6956","-2.3362","-44.65","0.537","52.0219","4.3243","124.9036","-7.9368","19.0934","35","10","7","1","-11.8654","2.2542","reject"
"SOL","30","70","85","2","3070","3026","1624","1402","44","53.6682","-2.3867","-40.3","0.5367","51.888","4.0357","130.5153","-8.2054","16.8681","28","9","7","2","-12.5289","3.4183","reject"
"SOL","30","70","90","2","2709","2670","1450","1220","39","54.3071","-1.2417","-18.5","0.5431","52.4127","4.4511","136.2518","-9.6018","14.8846","28","9","7","3","-13.1016","5.1258","reject"
"SOL","30","70","95","2","2400","2368","1296","1072","32","54.7297","-0.4848","-6.4","0.5473","52.7188","4.6032","141.9056","-10.2565","13.1868","26","9","7","1","-12.4496","5.1073","reject"
"SOL","30","70","100","2","2116","2091","1149","942","25","54.9498","-0.0902","-1.05","0.5495","52.81","4.5268","147.8909","-8.8786","11.6264","17","9","7","2","-9.9543","3.4395","reject"
"SOL","30","60","0","1","52415","50468","26337","24131","1947","52.1855","-4.9271","-1420.4","0.5219","51.7496","9.8197","26.6408","-0.6123","287.9945","47","13","7","0","-7.2293","-3.5069","reject"
"SOL","30","60","5","2","43861","42305","22239","20066","1556","52.5683","-4.2645","-1028.75","0.5257","52.0922","10.5649","31.3521","-0.7414","240.9945","56","12","7","0","-6.9015","-2.1654","reject"
"SOL","30","60","10","2","35814","34631","18353","16278","1183","52.9959","-3.5235","-694.05","0.53","52.4699","11.1503","36.7214","-0.9217","196.7802","41","12","7","0","-6.0296","-1.5163","reject"
"SOL","30","60","15","2","28814","27932","14916","13016","882","53.4011","-2.8181","-446.6","0.534","52.8157","11.3685","42.6271","-1.2841","158.3187","36","11","7","0","-4.6829","-1.2434","reject"
"SOL","30","60","20","2","23152","22501","12077","10424","651","53.6732","-2.3446","-298.55","0.5367","53.021","11.0198","48.7951","-1.7283","127.2088","36","11","7","0","-3.8328","-0.8455","reject"
"SOL","30","60","25","2","18666","18186","9775","8411","480","53.7501","-2.214","-227.3","0.5375","53.0248","10.1145","55.1454","-2.4506","102.5604","33","11","7","0","-3.6996","-0.4723","reject"
"SOL","30","60","30","2","15150","14788","7961","6827","362","53.8342","-2.069","-172.4","0.5383","53.0298","9.3252","61.5835","-3.0904","83.2418","35","11","7","1","-3.5122","1.7756","reject"
"SOL","30","60","35","2","12441","12162","6587","5575","279","54.1605","-1.4921","-102.1","0.5416","53.2738","9.1765","67.9497","-3.6191","68.3571","36","11","7","1","-2.6121","1.0335","reject"
"SOL","30","60","40","2","10338","10113","5455","4658","225","53.9405","-1.8845","-107.15","0.5394","52.9677","7.9253","74.1661","-4.3056","56.8022","41","10","7","1","-4.4571","1.0452","reject"
"SOL","30","60","45","2","8634","8452","4573","3879","182","54.1055","-1.592","-75.6","0.5411","53.0415","7.5488","80.4342","-4.5596","47.4396","40","10","7","2","-4.5764","2.1499","reject"
"SOL","30","60","50","2","7282","7138","3892","3246","144","54.5251","-0.8464","-33.9","0.5453","53.3678","7.6462","86.5659","-4.8724","40.011","36","10","7","4","-6.0482","3.4044","reject"
"SOL","30","60","55","2","6121","6014","3279","2735","107","54.5228","-0.8525","-28.7","0.5452","53.2618","7.0148","93.0526","-5.222","33.6319","39","10","7","2","-7.4255","2.3443","reject"
"SOL","30","60","60","2","5218","5132","2789","2343","86","54.3453","-1.1708","-33.6","0.5435","52.9797","6.2257","99.2215","-6.2215","28.6703","39","10","7","2","-7.8835","2.1212","reject"
