rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
72,ETH,5,10,55,2,774,56.0724,12.1447,0.5607,7.8314,52.5544,3.3788,6,5,"research_candidate"
73,BTC,5,40,45,2,2948,56.0719,12.1438,0.5607,7.8306,54.2736,6.5935,7,6,"research_candidate"
74,SOL,30,20,75,2,842,56.1758,12.1354,0.5618,8.0303,52.8038,3.5841,6,6,"research_candidate"
75,SOL,5,30,80,2,1318,56.1457,12.1348,0.5615,7.9725,53.4527,4.4623,7,6,"research_candidate"
76,SOL,20,40,85,2,1573,56.1348,12.1155,0.5613,7.9515,53.6705,4.8662,7,6,"research_candidate"
77,BTC,15,50,45,2,3673,56.0577,12.1154,0.5606,7.8033,54.4471,7.3426,7,7,"research_candidate"
78,SOL,10,30,100,2,691,56.1505,12.1083,0.5615,7.9817,52.4268,3.2336,6,5,"research_candidate"
79,SOL,20,20,70,2,1065,56.1502,12.1072,0.5615,7.9812,53.1532,4.0142,7,7,"research_candidate"
80,SOL,15,20,65,2,1313,56.131,12.0962,0.5613,7.9442,53.4328,4.4432,7,7,"research_candidate"
81,SOL,20,40,80,2,1791,56.1139,12.0794,0.5611,7.9114,53.8049,5.1748,7,6,"research_candidate"
82,BTC,20,40,45,2,2923,56.0383,12.0766,0.5604,7.766,54.2322,6.5292,7,6,"research_candidate"
83,SOL,15,30,100,2,677,56.13,12.064,0.5613,7.9423,52.3678,3.1899,6,5,"research_candidate"
84,SOL,25,40,75,2,2057,56.1011,12.0557,0.561,7.8868,53.9471,5.5342,7,5,"research_candidate"
85,SOL,5,40,70,2,2481,56.1064,12.0525,0.5611,7.8969,54.1457,6.0832,7,7,"research_candidate"
86,SOL,10,20,55,2,2000,56.1,12.0494,0.561,7.8846,53.9154,5.456,7,7,"research_candidate"
87,SOL,20,20,65,2,1294,56.1051,12.0335,0.5611,7.8944,53.387,4.3923,7,5,"research_candidate"
88,BTC,30,20,40,2,1746,56.0137,12.0275,0.5601,7.7187,53.6748,5.0257,7,6,"research_candidate"
89,BTC,25,20,30,2,3326,56.0132,12.0265,0.5601,7.7177,54.3203,6.9358,7,6,"research_candidate"
90,BTC,25,50,45,2,3651,56.0121,12.0241,0.5601,7.7155,54.3964,7.2654,7,7,"research_candidate"
91,SOL,5,20,75,2,925,56.1081,12.0213,0.5611,7.9002,52.8913,3.7154,7,6,"research_candidate"
92,BTC,5,50,45,2,3732,56.0021,12.0043,0.56,7.6964,54.4042,7.3334,7,7,"research_candidate"
93,BTC,5,30,35,2,3775,56,12,0.56,7.6923,54.4112,7.3729,7,7,"research_candidate"
