"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"SOL","10","20","65","2","1366","1349","758","591","17","56.1898","2.1363","16.05","0.5619","53.5282","4.5468","95.2598","-1.1594","7.5055","19","11","7","4","-9.0909","7.0392","watch_only"
"SOL","30","20","85","2","583","573","322","251","10","56.1955","2.1363","6.85","0.562","52.1051","2.9661","121.5405","0.5006","3.2033","8","8","6","2","-13.0435","8.06","reject"
"SOL","5","40","80","2","1860","1839","1033","806","21","56.1718","2.1065","21.55","0.5617","53.8935","5.2934","120.0132","-5.588","10.2198","12","7","7","2","-6.936","7.7227","reject"
"SOL","30","20","75","2","857","842","473","369","15","56.1758","2.1004","9.9","0.5618","52.8038","3.5841","108.0749","-1.0754","4.7088","11","7","6","4","-6.6629","6.3573","watch_only"
"SOL","30","30","65","2","2085","2064","1159","905","21","56.1531","2.0754","23.8","0.5615","54.0029","5.5909","98.9671","-4.2571","11.456","19","8","7","4","-12.7273","8.0656","watch_only"
"BTC","5","30","40","2","2861","2861","1606","1255","0","56.1342","2.0622","32.45","0.5613","54.3089","6.5622","63.2103","-2.5685","15.7198","19","9","7","4","-10.303","5.6384","watch_only"
"SOL","10","30","100","2","702","691","388","303","11","56.1505","2.0591","7.95","0.5615","52.4268","3.2336","141.3804","-4.6884","3.8571","9","8","6","3","-15.5844","11.1111","watch_only"
"SOL","5","30","80","2","1335","1318","740","578","17","56.1457","2.0565","15.1","0.5615","53.4527","4.4623","116.8573","-5.7643","7.3352","15","8","7","3","-12.0235","6.9477","reject"
"BTC","10","40","45","2","2945","2945","1653","1292","0","56.129","2.0528","33.25","0.5613","54.33","6.6522","71.3062","-3.4003","16.1813","19","9","7","5","-14.2857","6.9163","watch_only"
"SOL","30","30","75","2","1482","1466","823","643","16","56.1392","2.0488","16.7","0.5614","53.5862","4.7012","110.889","-6.7056","8.1429","18","7","7","4","-7.1228","8.2946","watch_only"
"ETH","5","20","80","2","688","688","386","302","0","56.1047","2.0085","7.6","0.561","52.3726","3.2025","113.9367","2.9975","3.7802","13","7","6","2","-24.2424","13.4545","reject"
