rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
59,BTC,5,30,35,2,3775,56,12,0.56,7.6923,54.4112,7.3729,7,7,"research_candidate"
60,BTC,30,50,50,2,2959,55.9986,11.9973,0.56,7.6897,54.2034,6.5261,7,7,"research_candidate"
61,BTC,5,60,50,2,3633,55.9868,11.9736,0.5599,7.6669,54.3671,7.217,7,6,"research_candidate"
62,SOL,30,40,90,2,1338,56.0538,11.9645,0.5605,7.7958,53.3808,4.4288,7,6,"research_candidate"
63,BTC,30,20,35,2,2351,55.9762,11.9524,0.5598,7.6465,53.9614,5.7954,7,6,"research_candidate"
64,SOL,10,30,70,2,1795,56.0446,11.9428,0.5604,7.778,53.7379,5.1219,7,6,"research_candidate"
65,BTC,10,60,50,2,3592,55.9577,11.9154,0.5596,7.6109,54.3287,7.1413,7,6,"research_candidate"
66,ETH,5,30,100,2,638,55.9561,11.9122,0.5596,7.6079,52.0796,3.0089,5,5,"research_candidate"
67,SOL,5,30,65,2,2149,56.0261,11.908,0.5603,7.7424,53.9185,5.587,7,7,"research_candidate"
68,SOL,5,30,70,2,1808,56.0288,11.9061,0.5603,7.7476,53.7304,5.1269,7,6,"research_candidate"
69,ETH,5,10,20,2,6525,55.954,11.8953,0.5595,7.6039,54.7463,9.619,7,7,"research_candidate"
70,BTC,10,40,40,2,3786,55.9429,11.8859,0.5594,7.5826,54.3563,7.3134,7,7,"research_candidate"
71,SOL,5,20,60,2,1673,56.0072,11.8794,0.5601,7.7061,53.6175,4.9141,7,7,"research_candidate"
72,SOL,10,40,95,2,1196,56.0201,11.8714,0.5602,7.7309,53.1921,4.1639,7,7,"research_candidate"
73,BTC,10,30,35,2,3758,55.934,11.868,0.5593,7.5654,54.3414,7.2754,7,7,"research_candidate"
74,SOL,10,40,75,2,2093,55.9962,11.8564,0.56,7.685,53.8605,5.4864,7,7,"research_candidate"
75,SOL,5,30,75,2,1550,56,11.8547,0.56,7.6923,53.517,4.7244,7,6,"research_candidate"
76,BTC,5,60,55,2,3004,55.9254,11.8509,0.5593,7.5489,54.1435,6.4953,7,6,"research_candidate"
77,SOL,10,30,80,2,1291,56.0031,11.8502,0.56,7.6983,53.2815,4.3139,7,6,"research_candidate"
78,ETH,5,20,20,2,10679,55.9041,11.7939,0.559,7.5079,54.9605,12.2025,7,7,"research_candidate"
79,ETH,5,40,35,2,7639,55.8974,11.7824,0.559,7.4949,54.7812,10.3088,7,7,"research_candidate"
80,SOL,30,40,70,2,2422,55.9455,11.7551,0.5595,7.5875,53.9604,5.852,7,7,"research_candidate"
81,BTC,30,50,45,2,3648,55.8662,11.7325,0.5587,7.4351,54.2495,7.0862,7,7,"research_candidate"
82,SOL,30,40,85,2,1525,55.9344,11.7228,0.5593,7.5662,53.4308,4.6349,7,6,"research_candidate"
83,SOL,10,40,90,2,1382,55.9334,11.7143,0.5593,7.5643,53.303,4.4115,7,7,"research_candidate"
84,BTC,10,50,40,2,4687,55.8566,11.7132,0.5586,7.4166,54.4308,8.0191,7,7,"research_candidate"
85,BTC,10,30,45,2,2184,55.815,11.63,0.5582,7.3366,53.7238,5.4351,7,6,"research_candidate"
86,BTC,10,50,60,2,2014,55.8093,11.6187,0.5581,7.3256,53.6314,5.2142,7,6,"research_candidate"
87,BTC,30,30,40,2,2747,55.8063,11.6127,0.5581,7.3199,53.9423,6.0864,7,6,"research_candidate"
88,SOL,30,40,80,2,1779,55.8741,11.6111,0.5587,7.4502,53.5565,4.9552,7,6,"research_candidate"
89,BTC,10,30,50,2,1699,55.7975,11.5951,0.558,7.3029,53.4256,4.7794,7,6,"research_candidate"
90,SOL,30,20,55,2,1937,55.8596,11.5757,0.5586,7.4223,53.6388,5.1578,7,6,"research_candidate"
91,ETH,5,50,40,2,7345,55.7931,11.5751,0.5579,7.2943,54.6545,9.9296,7,7,"research_candidate"
92,SOL,30,30,85,2,1058,55.8601,11.5456,0.5586,7.4233,52.8521,3.8122,7,6,"research_candidate"
93,BTC,5,30,45,2,2184,55.7692,11.5385,0.5577,7.2485,53.6779,5.3923,7,6,"research_candidate"
94,BTC,5,20,30,2,3420,55.7602,11.5205,0.5576,7.2312,54.0901,6.7373,7,7,"research_candidate"
