asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct_at_0_50,pnl_units,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,avg_abs_deviation_bps,avg_signed_deviation_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
BTC,25,20,5,2,31364,31348,16305,15043,16,52.0129,4.0237,1262,0.5201,0.0248,51.4596,7.1278,16.1369,-0.2119,0.0191,172.3297,79,12,7,7,1.0671,9.4498,"research_candidate"
BTC,25,20,10,2,18478,18472,9772,8700,6,52.9017,5.8015,1072,0.529,1.734,52.1813,7.8875,22.3107,-0.5317,-0.0217,101.5275,71,10,7,7,3.1746,12.7379,"research_candidate"
BTC,25,20,15,2,11284,11279,6006,5273,5,53.2494,6.4959,733,0.5325,2.4027,52.3276,6.9019,28.7113,-0.9378,0.0012,62,40,11,7,7,3.9357,18.2073,"research_candidate"
BTC,25,20,20,2,7208,7206,3886,3320,2,53.9273,7.8524,566,0.5393,3.7063,52.7746,6.6676,35.1746,-1.0518,0.1527,39.6044,19,11,7,7,6.4039,10.0917,"research_candidate"
BTC,25,20,25,2,4784,4784,2633,2151,0,55.0376,10.0753,482,0.5504,5.8416,53.6245,6.9687,41.7061,-1.1968,-0.1932,26.2857,22,10,7,7,3.6212,16.8831,"research_candidate"
BTC,25,20,30,2,3326,3326,1863,1463,0,56.0132,12.0265,400,0.5601,7.7177,54.3203,6.9358,48.0385,-1.3,-0.4073,18.2747,20,11,7,6,0,24.4681,"research_candidate"
BTC,25,20,35,2,2364,2364,1314,1050,0,55.5838,11.1675,264,0.5558,6.8918,53.5733,5.4298,54.4252,-1.5211,-0.3228,12.989,22,10,7,6,0,18.2609,"research_candidate"
BTC,25,20,40,2,1769,1769,995,774,0,56.2465,12.4929,221,0.5625,8.1663,53.9236,5.2545,60.1776,-1.3779,-0.816,9.7198,18,10,7,6,-13.0435,23.871,"research_candidate"
BTC,25,20,45,2,1296,1296,713,583,0,55.0154,10.0309,130,0.5502,5.7989,52.2961,3.6111,66.6617,-1.3822,-1.1134,7.1209,16,14,7,6,-28.5714,27.7778,"research_candidate"
BTC,25,20,50,2,983,983,544,439,0,55.3408,10.6816,105,0.5534,6.4246,52.2182,3.349,72.836,-1.83,-0.5497,5.4011,15,10,6,6,5.2632,29.8701,"research_candidate"
