"asset_symbol","market_start_utc","sampled_at_utc","counter_start_market_start_utc","up_count","down_count","diff","processed_market_count"
"SOL","2026-06-08T09:35:00Z","2026-06-08T09:49:52.768Z","2026-06-08T09:45:00Z","0","0","0","0"
"BTC","2026-06-08T09:40:00Z","2026-06-08T09:54:58.090Z","2026-06-08T09:45:00Z","0","0","0","0"
"ETH","2026-06-08T09:40:00Z","2026-06-08T09:54:58.090Z","2026-06-08T09:45:00Z","0","0","0","0"
"SOL","2026-06-08T09:40:00Z","2026-06-08T09:54:58.090Z","2026-06-08T09:45:00Z","0","0","0","0"
"BTC","2026-06-08T09:45:00Z","2026-06-08T09:59:49.930Z","2026-06-08T09:45:00Z","0","0","0","0"
"ETH","2026-06-08T09:45:00Z","2026-06-08T09:59:49.930Z","2026-06-08T09:45:00Z","0","0","0","0"
"SOL","2026-06-08T09:45:00Z","2026-06-08T09:59:49.930Z","2026-06-08T09:45:00Z","0","0","0","0"
"BTC","2026-06-08T09:50:00Z","2026-06-08T10:04:57.647Z","2026-06-08T09:45:00Z","0","1","-1","1"
"ETH","2026-06-08T09:50:00Z","2026-06-08T10:04:57.647Z","2026-06-08T09:45:00Z","1","0","1","1"
"SOL","2026-06-08T09:50:00Z","2026-06-08T10:04:57.647Z","2026-06-08T09:45:00Z","1","0","1","1"
"BTC","2026-06-08T09:55:00Z","2026-06-08T10:09:50.817Z","2026-06-08T09:45:00Z","1","1","0","2"
"ETH","2026-06-08T09:55:00Z","2026-06-08T10:09:50.817Z","2026-06-08T09:45:00Z","2","0","2","2"
"SOL","2026-06-08T09:55:00Z","2026-06-08T10:09:50.817Z","2026-06-08T09:45:00Z","2","0","2","2"
"BTC","2026-06-08T10:00:00Z","2026-06-08T10:14:59.269Z","2026-06-08T09:45:00Z","1","2","-1","3"
"ETH","2026-06-08T10:00:00Z","2026-06-08T10:14:59.269Z","2026-06-08T09:45:00Z","2","1","1","3"
"SOL","2026-06-08T10:00:00Z","2026-06-08T10:14:59.269Z","2026-06-08T09:45:00Z","2","1","1","3"
"BTC","2026-06-08T10:05:00Z","2026-06-08T10:19:59.107Z","2026-06-08T09:45:00Z","1","3","-2","4"
"ETH","2026-06-08T10:05:00Z","2026-06-08T10:19:59.107Z","2026-06-08T09:45:00Z","3","1","2","4"
"SOL","2026-06-08T10:05:00Z","2026-06-08T10:19:59.107Z","2026-06-08T09:45:00Z","2","2","0","4"
"BTC","2026-06-08T10:10:00Z","2026-06-08T10:24:46.189Z","2026-06-08T09:45:00Z","1","4","-3","5"
"ETH","2026-06-08T10:10:00Z","2026-06-08T10:24:46.189Z","2026-06-08T09:45:00Z","3","2","1","5"
"SOL","2026-06-08T10:10:00Z","2026-06-08T10:24:46.189Z","2026-06-08T09:45:00Z","3","2","1","5"
"BTC","2026-06-08T10:15:00Z","2026-06-08T10:29:49.489Z","2026-06-08T09:45:00Z","1","5","-4","6"
"ETH","2026-06-08T10:15:00Z","2026-06-08T10:29:49.489Z","2026-06-08T09:45:00Z","3","3","0","6"
"SOL","2026-06-08T10:15:00Z","2026-06-08T10:29:49.489Z","2026-06-08T09:45:00Z","3","3","0","6"
"BTC","2026-06-08T10:20:00Z","2026-06-08T10:34:53.367Z","2026-06-08T09:45:00Z","1","6","-5","7"
"ETH","2026-06-08T10:20:00Z","2026-06-08T10:34:53.367Z","2026-06-08T09:45:00Z","4","3","1","7"
