"sample_number","sample_utc","asset","market_slug","market_id","market_start_utc","market_end_utc","seconds_to_start","seconds_from_start","seconds_to_end","outcome","token_id","best_bid","best_bid_size","best_ask","best_ask_size","spread","bid_levels","ask_levels","top5_bid_size","top5_ask_size","total_bid_size","total_ask_size","book_timestamp","book_market","binance_price","start_reference_price","move_from_start_bps","error"
"5","2026-06-18T18:02:21.1136942+00:00","BTC","btc-updown-5m-1781805600","2584851","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-141.114","141.114","158.886","Up","69551560445088382754714827577620718235813378023082728222424940352395440970822","0.7","30","0.71","1723.09","0.01","70","29","1477.48","6398.73","54509.48","39765.58","1781805743093","0xba71c99d7fb34fe556a1fa3203307333821ff8ed1d5297b70313adbdf2ff9b26","62644.72000000","62631.60000000","2.0947892118355590468709090000",""
"5","2026-06-18T18:02:21.1136942+00:00","BTC","btc-updown-5m-1781805600","2584851","2026-06-18T18:00:00.0000000+00:00","2026-06-18T18:05:00.0000000+00:00","-141.114","141.114","158.886","Down","20195300913110956058442138189418940832885706023824964145401620330744384196382","0.29","1926.54","0.31","232.52","0.02","29","69","7220.58","2672.03","40791.04","57406.11","1781805743305","0xba71c99d7fb34fe556a1fa3203307333821ff8ed1d5297b70313adbdf2ff9b26","62644.72000000","62631.60000000","2.0947892118355590468709090000",""
"5","2026-06-18T18:02:21.1136942+00:00","ETH","eth-updown-5m-1781805900","2584884","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","158.886","-158.886","458.886","Up","87638470687256180789625872353959436232072330222476306766552913512268745202636","0.51","20.05","0.52","85.66","0.01","51","48","335.20","1056.44","25211.62","25408.98","1781805743147","0xc4848f78d533e55544fdde0ded280ad7ca5126882d67812d9248377570186e23","1681.20000000",,,""
"5","2026-06-18T18:02:21.1136942+00:00","ETH","eth-updown-5m-1781805900","2584884","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","158.886","-158.886","458.886","Down","6433665683337383870393395622078943490078528184181542297078329973561292970114","0.48","85.66","0.49","20.05","0.01","48","51","1056.44","335.20","25408.98","25211.62","1781805743147","0xc4848f78d533e55544fdde0ded280ad7ca5126882d67812d9248377570186e23","1681.20000000",,,""
"5","2026-06-18T18:02:21.1136942+00:00","BTC","btc-updown-5m-1781805900","2584885","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","158.886","-158.886","458.886","Up","84992519852971935377829666695110129200269350761576584997248599646134881919776","0.5","1300.25","0.51","457.45","0.01","50","49","2157.76","3206.61","47862.66","51768.35","1781805743009","0x8506535a52f6b682f53f20d77739545978544028b27e4ab3c2609a3b21b32096","62644.72000000",,,""
"5","2026-06-18T18:02:21.1136942+00:00","BTC","btc-updown-5m-1781805900","2584885","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","158.886","-158.886","458.886","Down","42465430903139473100546293101713411666359504294071645838614940811631751292310","0.49","457.45","0.5","1300.25","0.01","49","50","3206.61","2157.76","51741.82","47862.66","1781805744011","0x8506535a52f6b682f53f20d77739545978544028b27e4ab3c2609a3b21b32096","62644.72000000",,,""
"5","2026-06-18T18:02:21.1136942+00:00","SOL","sol-updown-5m-1781805900","2584886","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","158.886","-158.886","458.886","Up","17918595972159669296704757368041046382807284320771970511236606858231649587146","0.51","35.05","0.52","43.25","0.01","50","48","128.55","716.44","14173.16","14179.70","1781805741102","0x6fe6c50e9739f3ec9f319c15d99b69bf1a986466f2ad035b006f6343b0fe7078","68.57000000",,,""
"5","2026-06-18T18:02:21.1136942+00:00","SOL","sol-updown-5m-1781805900","2584886","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","158.886","-158.886","458.886","Down","19093975118609871406874996908570798158581047681193006965676263914632124416327","0.48","43.25","0.49","35.05","0.01","48","50","716.44","128.55","14179.70","14173.16","1781805741102","0x6fe6c50e9739f3ec9f319c15d99b69bf1a986466f2ad035b006f6343b0fe7078","68.57000000",,,""
"6","2026-06-18T18:02:55.1205672+00:00","BTC","btc-updown-5m-1781805300","2584774","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-475.121","475.121","-175.121","Up","100366993284555439229136263731142874057115468471011666953870421192847222766172",,,,,,"0","0",,,,,"","","62628.16000000","62631.60000000","-0.5492435128593234086307870000","The remote server returned an error: (404) Not Found."
"6","2026-06-18T18:02:55.1205672+00:00","BTC","btc-updown-5m-1781805300","2584774","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-475.121","475.121","-175.121","Down","30945358799682125975622752445436537816479585992099959750063279707586060979279",,,,,,"0","0",,,,,"","","62628.16000000","62631.60000000","-0.5492435128593234086307870000","The remote server returned an error: (404) Not Found."
