"group","slot_start_utc","phase","asset","outcome","slug","market_id","condition_id","token_id","checkpoint_status","formula_limit_price","accepted_hypothetically","accepted_limit_price","accepted_attempt","terminal_reason","target_utc","formula_request_started_utc","formula_response_received_utc","formula_request_offset_from_target_ms","formula_best_bid","formula_best_ask","tick_size","formula_book_age_ms","accepted_at_utc","accepted_request_started_utc","accepted_request_offset_from_target_ms","identity_note"
"EARLY_FIRST_ACCEPTING","2026-08-10T15:45:00.0000000Z","first_accepting","ETH","Up","eth-updown-5m-1786376700","3451117","0xe3d416171d69728f0041314cf0eee3b6511ec24838ecc1738a8b66199794891b","65066167736983583067598444488515212886402199263551663744581558240286552992237","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T15:54:02.6745225Z","2026-08-09T15:54:02.7553863Z",,"0.50","0.51","0.01","1009.3863","2026-08-09T15:54:02.8295401Z","2026-08-09T15:54:02.6745225Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:45:00.0000000Z","first_accepting","ETH","Down","eth-updown-5m-1786376700","3451117","0xe3d416171d69728f0041314cf0eee3b6511ec24838ecc1738a8b66199794891b","62359331564169467983358186628209085353331095802981827644004716174068327115147","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T15:54:02.6749800Z","2026-08-09T15:54:02.7428075Z",,"0.49","0.50","0.01","996.8075","2026-08-09T15:54:02.8110924Z","2026-08-09T15:54:02.6749800Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:45:00.0000000Z","first_accepting","SOL","Up","sol-updown-5m-1786376700","3451121","0xfe88b42c13b663bc3b0cb444f5e1236100940a1205cf49cab6e48116a3d88036","102434462124908497144239159727057593363190374688195374233071416599819222167337","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T15:53:47.4140319Z","2026-08-09T15:53:47.5779054Z",,"0.50","0.51","0.01","1264.9054","2026-08-09T15:53:47.6678777Z","2026-08-09T15:53:47.4140319Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:45:00.0000000Z","first_accepting","SOL","Down","sol-updown-5m-1786376700","3451121","0xfe88b42c13b663bc3b0cb444f5e1236100940a1205cf49cab6e48116a3d88036","53215014506544638761177512006183182345743756779665182537726227615572690912621","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T15:53:47.4147078Z","2026-08-09T15:53:47.5790389Z",,"0.49","0.50","0.01","1266.0389","2026-08-09T15:53:47.6679906Z","2026-08-09T15:53:47.4147078Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:50:00.0000000Z","first_accepting","BTC","Up","btc-updown-5m-1786377000","3451136","0x8d9a16d9c3385c8eb0668a84c7859dcbcd872f75de658ddcc8c0fbfd2f23bc5f","7556686225295008504909723547426273590306933884458289502887113872825284367260","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T15:58:39.2693617Z","2026-08-09T15:58:39.3482598Z",,"0.50","0.51","0.01","902.2598","2026-08-09T15:58:39.4153175Z","2026-08-09T15:58:39.2693617Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:50:00.0000000Z","first_accepting","BTC","Down","btc-updown-5m-1786377000","3451136","0x8d9a16d9c3385c8eb0668a84c7859dcbcd872f75de658ddcc8c0fbfd2f23bc5f","110124635056014860302679951084971896085289644139395872502300385784009240670354","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T15:58:39.2694458Z","2026-08-09T15:58:39.3482598Z",,"0.49","0.50","0.01","903.2598","2026-08-09T15:58:39.4153480Z","2026-08-09T15:58:39.2694458Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:50:00.0000000Z","first_accepting","ETH","Up","eth-updown-5m-1786377000","3451130","0xf500edbda99551716588ed4cee99b655fb2688415a138771cb25aa6dbb463dca","71827415690533986992010215230940549914888782283918957055102111555826702048328","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T15:58:32.2918262Z","2026-08-09T15:58:32.4884039Z",,"0.50","0.51","0.01","1022.4039","2026-08-09T15:58:32.5662074Z","2026-08-09T15:58:32.2918262Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:50:00.0000000Z","first_accepting","ETH","Down","eth-updown-5m-1786377000","3451130","0xf500edbda99551716588ed4cee99b655fb2688415a138771cb25aa6dbb463dca","47256216262105909095577515746058225945748756123102974780114239733938576036643","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T15:58:32.2920150Z","2026-08-09T15:58:32.4832748Z",,"0.49","0.50","0.01","1017.2748","2026-08-09T15:58:32.5591992Z","2026-08-09T15:58:32.2920150Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:50:00.0000000Z","first_accepting","SOL","Up","sol-updown-5m-1786377000","3451129","0xce4496931f889d85f3770d3bc8f2f6b6979bfa346805b42ab0f6b91a134e25f9","95248089343528789507507553789007020749402224465350114587483480369113498795933","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T15:58:33.0997426Z","2026-08-09T15:58:33.1698879Z",,"0.50","0.51","0.01","907.8879","2026-08-09T15:58:33.2583690Z","2026-08-09T15:58:33.0997426Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:50:00.0000000Z","first_accepting","SOL","Down","sol-updown-5m-1786377000","3451129","0xce4496931f889d85f3770d3bc8f2f6b6979bfa346805b42ab0f6b91a134e25f9","30861904384838481047864948711681796000897354649258499776363746297726221618082","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T15:58:33.1003764Z","2026-08-09T15:58:33.1725925Z",,"0.49","0.50","0.01","910.5925","2026-08-09T15:58:33.2479446Z","2026-08-09T15:58:33.1003764Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:55:00.0000000Z","first_accepting","BTC","Up","btc-updown-5m-1786377300","3451549","0xc6e602f74024722dfb2c708497142ec7e734dc2f713466aab37655c0b549da4e","51057857698179671311666092059378273995691649054026607584034766863680399093804","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T16:05:21.9335807Z","2026-08-09T16:05:22.0036106Z",,"0.50","0.51","0.01","910.6106","2026-08-09T16:05:22.0697099Z","2026-08-09T16:05:21.9335807Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:55:00.0000000Z","first_accepting","BTC","Down","btc-updown-5m-1786377300","3451549","0xc6e602f74024722dfb2c708497142ec7e734dc2f713466aab37655c0b549da4e","53276026769334088192093621749895677133358843172421634015864215571429819702913","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting",,"2026-08-09T16:05:21.9336809Z","2026-08-09T16:05:22.0037347Z",,"0.49","0.50","0.01","904.7347","2026-08-09T16:05:22.0703497Z","2026-08-09T16:05:21.9336809Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
"EARLY_FIRST_ACCEPTING","2026-08-10T15:55:00.0000000Z","first_accepting","ETH","Up","eth-updown-5m-1786377300","3451552","0x2e7cbc720b874f57c78500b2aa686a21e90dc3363c13e91f30e32bfc68e247a5","59869664777118324241646784223441926983789499917848053169716193374688294641382","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","1","paper_post_only_accepted_resting",,"2026-08-09T16:05:25.6515684Z","2026-08-09T16:05:25.7334198Z",,"0.50","0.51","0.01","920.4198","2026-08-09T16:05:25.8019874Z","2026-08-09T16:05:25.6515684Z",,"Clean checkpoint; accepted_limit_price is the S0/S1 result."
