asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 31 Diff Up Progress","Up","Down",31,52230,42,324,323,1,171,152,52.94117647,1580,1575,61,3.87301587,4.87654321,10,45,96,10,8,2,0,"2025-12-30T14:20:00.0000000+00:00","2026-06-13T19:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 23 Diff Down Progress","Down","Up",23,52230,89,1197,1196,1,597,599,49.91638796,6595,6593,57,0.86455331,5.50960735,10,249,208,25,19,6,0,"2026-01-24T16:20:00.0000000+00:00","2026-06-24T19:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 30 Diff Down Progress","Down","Up",30,52230,34,396,396,0,201,195,50.75757576,2110,2110,56,2.65402844,5.32828283,10,58,126,9,7,2,0,"2026-01-28T18:55:00.0000000+00:00","2026-06-05T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 29 Diff Down Progress","Down","Up",29,52230,39,463,463,0,234,229,50.5399568,2496,2496,56,2.24358974,5.39092873,10,77,137,9,7,2,0,"2026-01-28T18:50:00.0000000+00:00","2026-06-05T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 27 Diff Up Progress","Up","Down",27,52230,45,648,647,1,320,327,49.45904173,3380,3371,55,1.63156333,5.21604938,10,110,173,12,8,2,2,"2025-12-30T10:10:00.0000000+00:00","2026-06-13T22:30:00.0000000+00:00"
"BTC","BTC Up or Down 5m 32 Diff Down Progress","Down","Up",32,52230,27,299,299,0,155,144,51.83946488,1472,1472,52,3.5326087,4.92307692,10,32,114,6,5,1,0,"2026-01-28T19:45:00.0000000+00:00","2026-06-05T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 31 Diff Down Progress","Down","Up",31,52230,23,344,344,0,173,171,50.29069767,1772,1772,52,2.93453725,5.15116279,10,44,119,8,7,1,0,"2026-01-28T19:40:00.0000000+00:00","2026-06-05T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 28 Diff Down Progress","Down","Up",28,52230,42,538,538,0,270,268,50.18587361,2932,2932,52,1.77353342,5.44981413,10,102,154,13,11,2,0,"2026-01-28T18:45:00.0000000+00:00","2026-06-24T17:45:00.0000000+00:00"
"BTC","BTC Up or Down 5m 36 Diff Up Progress","Up","Down",36,52230,14,133,133,0,69,64,51.87969925,590,590,48,8.13559322,4.43609023,10,3,44,4,4,0,0,"2025-12-30T15:55:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 35 Diff Up Progress","Up","Down",35,52230,14,160,159,1,81,78,50.94339623,741,740,48,6.48648649,4.63125,10,9,53,4,4,0,0,"2025-12-30T15:50:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
