asset,market_id,condition_id,market_slug,market_start_utc,market_end_utc,sampled_at_utc,seconds_from_start,seconds_to_close,binance_price_usd,binance_start_price_usd,reference_move_usd,reference_move_bps,up_asset_id,up_best_bid,up_best_ask,up_mid,up_price_proxy,up_price_proxy_kind,up_book_source,up_book_age_ms,down_asset_id,down_best_bid,down_best_ask,down_mid,down_price_proxy,down_price_proxy_kind,down_book_source,down_book_age_ms,diagnostics_json
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:03.414934+03,183.415,116.58506570,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.84000000,0.85000000,0.84500000,0.84500000,mid,websocket_cache,36.64800000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.17000000,0.18000000,0.17500000,0.17500000,mid,websocket_cache,1296.81110000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:08.576764+03,188.577,111.42323600,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.88000000,0.89000000,0.88500000,0.88500000,mid,websocket_cache,1122.97700000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.11000000,0.12000000,0.11500000,0.11500000,mid,websocket_cache,1041.95870000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:13.785049+03,193.785,106.21495100,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.90000000,0.91000000,0.90500000,0.90500000,mid,websocket_cache,855.30610000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.09000000,0.10000000,0.09500000,0.09500000,mid,websocket_cache,782.65310000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:18.976185+03,198.976,101.02381440,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.90000000,0.91000000,0.90500000,0.90500000,mid,websocket_cache,725.50850000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.09000000,0.10000000,0.09500000,0.09500000,mid,websocket_cache,490.95550000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:24.134618+03,204.135,95.86538150,80717.02000000,80700.77000000,16.25000000,2.01361152,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.90000000,0.91000000,0.90500000,0.90500000,mid,websocket_cache,403.17580000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.09000000,0.10000000,0.09500000,0.09500000,mid,websocket_cache,338.19450000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:29.307307+03,209.307,90.69269300,80717.02000000,80700.77000000,16.25000000,2.01361152,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.93000000,0.94000000,0.93500000,0.93500000,mid,websocket_cache,172.64930000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.06000000,0.07000000,0.06500000,0.06500000,mid,websocket_cache,79.12180000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:34.494072+03,214.494,85.50592740,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.93000000,0.94000000,0.93500000,0.93500000,mid,websocket_cache,950.49980000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.08000000,0.10000000,0.09000000,0.09000000,mid,websocket_cache,771.07310000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:39.674983+03,219.675,80.32501670,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.84000000,0.85000000,0.84500000,0.84500000,mid,websocket_cache,356.31260000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.15000000,0.16000000,0.15500000,0.15500000,mid,websocket_cache,261.16930000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:44.918991+03,224.919,75.08100810,80717.02000000,80700.77000000,16.25000000,2.01361152,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.84000000,0.85000000,0.84500000,0.84500000,mid,websocket_cache,1040.58720000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.15000000,0.16000000,0.15500000,0.15500000,mid,websocket_cache,962.58510000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:50.08087+03,230.081,69.91912910,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.84000000,0.85000000,0.84500000,0.84500000,mid,websocket_cache,362.91820000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.15000000,0.16000000,0.15500000,0.15500000,mid,websocket_cache,296.66800000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:03:55.296359+03,235.296,64.70364090,80717.03000000,80700.77000000,16.26000000,2.01485066,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.84000000,0.85000000,0.84500000,0.84500000,mid,websocket_cache,1090.16520000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.15000000,0.16000000,0.15500000,0.15500000,mid,websocket_cache,1028.98180000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:00.461434+03,240.461,59.53856510,80717.02000000,80700.77000000,16.25000000,2.01361152,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.87000000,0.91000000,0.89000000,0.89000000,mid,websocket_cache,228.98630000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.09000000,0.12000000,0.10500000,0.10500000,mid,websocket_cache,162.58830000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:05.624184+03,245.624,54.37581520,80717.02000000,80700.77000000,16.25000000,2.01361152,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.96000000,0.97000000,0.96500000,0.96500000,mid,websocket_cache,1005.98490000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.03000000,0.04000000,0.03500000,0.03500000,mid,websocket_cache,939.91770000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:10.859624+03,250.860,49.14037550,80720.09000000,80700.77000000,19.32000000,2.39402920,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.98000000,0.99000000,0.98500000,0.98500000,mid,websocket_cache,109.92970000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.02000000,0.03000000,0.02500000,0.02500000,mid,websocket_cache,1558.29810000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:16.069268+03,256.069,43.93073160,80720.09000000,80700.77000000,19.32000000,2.39402920,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.98000000,0.99000000,0.98500000,0.98500000,mid,websocket_cache,738.90200000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.01000000,0.02000000,0.01500000,0.01500000,mid,websocket_cache,676.68470000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:21.267542+03,261.268,38.73245760,80720.08000000,80700.77000000,19.31000000,2.39279006,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.98000000,0.99000000,0.98500000,0.98500000,mid,websocket_cache,1466.41510000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.01000000,0.02000000,0.01500000,0.01500000,mid,websocket_cache,1381.43050000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:26.443831+03,266.444,33.55616820,80720.08000000,80700.77000000,19.31000000,2.39279006,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.98000000,0.99000000,0.98500000,0.98500000,mid,websocket_cache,540.97460000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.01000000,0.02000000,0.01500000,0.01500000,mid,websocket_cache,466.16750000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:31.592185+03,271.592,28.40781420,80720.08000000,80700.77000000,19.31000000,2.39279006,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.98000000,0.99000000,0.98500000,0.98500000,mid,websocket_cache,1344.06090000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.01000000,0.02000000,0.01500000,0.01500000,mid,websocket_cache,1283.79510000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
BTC,2207365,0x53973e6e41675dca29425fdb5b39eca47b3d149c7da21a03804cb71e4e908f0e,btc-updown-5m-1778392800,2026-05-10 09:00:00+03,2026-05-10 09:05:00+03,2026-05-10 09:04:36.78585+03,276.786,23.21414960,80720.09000000,80700.77000000,19.32000000,2.39402920,75094929765334052928264412310544365585575430200435135195941599909798599123183,0.96000000,0.97000000,0.96500000,0.96500000,mid,websocket_cache,590.94410000,99168158606022956188013871737507428024663647716026633118102906263674544628040,0.03000000,0.04000000,0.03500000,0.03500000,mid,websocket_cache,530.60310000,"{""btc_source"": ""BinanceTradeWebSocket"", ""market_active"": true, ""market_closed"": false, ""up_book_error"": null, ""up_book_source"": ""websocket_cache"", ""up_book_status"": ""found"", ""down_book_error"": null, ""market_archived"": false, ""down_book_source"": ""websocket_cache"", ""down_book_status"": ""found"", ""market_accepting_orders"": true, ""market_enable_order_book"": true}"
