"asset_symbol","market_start_epoch","market_start_utc","market_start_sofia","up_count","down_count","diff","processed_market_count","service_started_at_utc","service_started_at_sofia","db_now_utc"
"BTC","1780969200","2026-06-09 01:40:00 UTC","2026-06-09 04:40","27","28","-1","55","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780969500","2026-06-09 01:45:00 UTC","2026-06-09 04:45","28","28","0","56","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780969800","2026-06-09 01:50:00 UTC","2026-06-09 04:50","29","28","1","57","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780970100","2026-06-09 01:55:00 UTC","2026-06-09 04:55","29","29","0","58","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780970400","2026-06-09 02:00:00 UTC","2026-06-09 05:00","30","29","1","59","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780970700","2026-06-09 02:05:00 UTC","2026-06-09 05:05","30","30","0","60","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780971000","2026-06-09 02:10:00 UTC","2026-06-09 05:10","30","31","-1","61","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780971300","2026-06-09 02:15:00 UTC","2026-06-09 05:15","30","32","-2","62","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780971600","2026-06-09 02:20:00 UTC","2026-06-09 05:20","31","32","-1","63","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780971900","2026-06-09 02:25:00 UTC","2026-06-09 05:25","32","32","0","64","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780972200","2026-06-09 02:30:00 UTC","2026-06-09 05:30","32","33","-1","65","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780972500","2026-06-09 02:35:00 UTC","2026-06-09 05:35","32","34","-2","66","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780972800","2026-06-09 02:40:00 UTC","2026-06-09 05:40","33","34","-1","67","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780973100","2026-06-09 02:45:00 UTC","2026-06-09 05:45","34","34","0","68","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780973400","2026-06-09 02:50:00 UTC","2026-06-09 05:50","35","34","1","69","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780973700","2026-06-09 02:55:00 UTC","2026-06-09 05:55","36","34","2","70","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780974000","2026-06-09 03:00:00 UTC","2026-06-09 06:00","36","35","1","71","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780974300","2026-06-09 03:05:00 UTC","2026-06-09 06:05","36","36","0","72","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780974600","2026-06-09 03:10:00 UTC","2026-06-09 06:10","37","36","1","73","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780974900","2026-06-09 03:15:00 UTC","2026-06-09 06:15","37","37","0","74","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780975200","2026-06-09 03:20:00 UTC","2026-06-09 06:20","37","38","-1","75","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780975500","2026-06-09 03:25:00 UTC","2026-06-09 06:25","38","38","0","76","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780975800","2026-06-09 03:30:00 UTC","2026-06-09 06:30","38","39","-1","77","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780976100","2026-06-09 03:35:00 UTC","2026-06-09 06:35","39","39","0","78","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780976400","2026-06-09 03:40:00 UTC","2026-06-09 06:40","40","39","1","79","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780976700","2026-06-09 03:45:00 UTC","2026-06-09 06:45","41","39","2","80","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780977000","2026-06-09 03:50:00 UTC","2026-06-09 06:50","41","40","1","81","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780977300","2026-06-09 03:55:00 UTC","2026-06-09 06:55","42","40","2","82","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780977600","2026-06-09 04:00:00 UTC","2026-06-09 07:00","42","41","1","83","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780977900","2026-06-09 04:05:00 UTC","2026-06-09 07:05","43","41","2","84","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780978200","2026-06-09 04:10:00 UTC","2026-06-09 07:10","43","42","1","85","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780978500","2026-06-09 04:15:00 UTC","2026-06-09 07:15","43","43","0","86","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780978800","2026-06-09 04:20:00 UTC","2026-06-09 07:20","43","44","-1","87","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780979100","2026-06-09 04:25:00 UTC","2026-06-09 07:25","43","45","-2","88","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780979400","2026-06-09 04:30:00 UTC","2026-06-09 07:30","44","45","-1","89","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780979700","2026-06-09 04:35:00 UTC","2026-06-09 07:35","45","45","0","90","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780980000","2026-06-09 04:40:00 UTC","2026-06-09 07:40","45","46","-1","91","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780980300","2026-06-09 04:45:00 UTC","2026-06-09 07:45","46","46","0","92","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780980600","2026-06-09 04:50:00 UTC","2026-06-09 07:50","46","47","-1","93","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780980900","2026-06-09 04:55:00 UTC","2026-06-09 07:55","46","48","-2","94","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780981200","2026-06-09 05:00:00 UTC","2026-06-09 08:00","47","48","-1","95","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780981500","2026-06-09 05:05:00 UTC","2026-06-09 08:05","47","49","-2","96","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780981800","2026-06-09 05:10:00 UTC","2026-06-09 08:10","48","49","-1","97","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780982100","2026-06-09 05:15:00 UTC","2026-06-09 08:15","49","49","0","98","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780982400","2026-06-09 05:20:00 UTC","2026-06-09 08:20","50","49","1","99","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780982700","2026-06-09 05:25:00 UTC","2026-06-09 08:25","50","50","0","100","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780983000","2026-06-09 05:30:00 UTC","2026-06-09 08:30","51","50","1","101","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780983300","2026-06-09 05:35:00 UTC","2026-06-09 08:35","51","51","0","102","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780983600","2026-06-09 05:40:00 UTC","2026-06-09 08:40","51","52","-1","103","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780983900","2026-06-09 05:45:00 UTC","2026-06-09 08:45","52","52","0","104","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780984200","2026-06-09 05:50:00 UTC","2026-06-09 08:50","52","53","-1","105","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780984500","2026-06-09 05:55:00 UTC","2026-06-09 08:55","52","54","-2","106","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"BTC","1780984800","2026-06-09 06:00:00 UTC","2026-06-09 09:00","53","54","-1","107","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780953300","2026-06-08 21:15:00 UTC","2026-06-09 00:15","0","2","-2","2","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780953600","2026-06-08 21:20:00 UTC","2026-06-09 00:20","1","2","-1","3","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
