offset_seconds,threshold_bps,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct,pnl_units,wilson_lower_win_rate_pct,z_score,avg_prev_move_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
5,29,2181,2179,1221,958,2,56.0349,12.0587,263,53.942,5.6341,49.8915,-0.2095,11.9835,15,9,7,7,9.6907,25.9259,"research_candidate"
5,30,2043,2041,1147,894,2,56.1979,12.3837,253,54.0358,5.6001,51.2684,-0.3259,11.2253,15,9,7,7,9.5344,24.5283,"research_candidate"
5,31,1920,1919,1073,846,1,55.9145,11.8229,227,53.6835,5.1819,52.6005,-0.2967,10.5495,16,9,7,7,9.4688,25.4902,"research_candidate"
5,32,1787,1786,997,789,1,55.8231,11.6396,208,53.5099,4.9218,54.1737,-0.3308,9.8187,17,9,7,7,9.5477,27.2727,"research_candidate"
5,33,1673,1672,938,734,1,56.1005,12.1937,204,53.7104,4.989,55.6515,-0.323,9.1923,16,7,7,7,9.3333,31.5789,"research_candidate"
5,34,1574,1573,882,691,1,56.0712,12.1347,191,53.6067,4.8158,57.0452,-0.2538,8.6484,14,9,7,7,10.1124,33.3333,"research_candidate"
5,35,1495,1494,843,651,1,56.4257,12.8428,192,53.898,4.9674,58.2387,-0.3594,8.2143,14,9,7,7,9.375,37.5,"research_candidate"
5,36,1407,1406,790,616,1,56.1878,12.3667,174,53.5809,4.6404,59.6616,-0.0547,7.7308,13,9,7,7,1.8182,37.931,"research_candidate"
5,37,1340,1339,755,584,1,56.3854,12.7612,171,53.7146,4.6731,60.8189,-0.0825,7.3626,15,9,7,7,1.8182,37.931,"research_candidate"
5,38,1264,1263,709,554,1,56.1362,12.2627,155,53.385,4.3614,62.2235,0.1266,6.9451,18,9,7,6,-10.2041,33.3333,"research_candidate"
5,39,1195,1194,666,528,1,55.7789,11.5481,138,52.9477,3.9937,63.5955,0.4798,6.5659,19,9,7,6,-13.0435,28,"research_candidate"
5,40,1122,1121,624,497,1,55.6646,11.3191,127,52.742,3.7932,65.1641,0.6805,6.1648,19,9,7,6,-14.2857,28,"research_candidate"
5,41,1064,1063,595,468,1,55.9737,11.9361,127,52.9732,3.8953,66.5106,0.6554,5.8462,18,9,7,6,-10,28,"research_candidate"
5,42,1019,1018,566,452,1,55.5992,11.1874,114,52.5316,3.573,67.6119,0.8429,5.5989,18,10,7,6,-10,21.7391,"research_candidate"
5,43,969,968,536,432,1,55.3719,10.7327,104,52.2252,3.3427,68.9064,0.7161,5.3242,18,10,7,6,-10,21.7391,"research_candidate"
5,44,928,927,516,411,1,55.6634,11.3147,105,52.4485,3.4487,70.0308,0.5558,5.0989,17,10,7,6,-8.1081,18.3099,"research_candidate"
5,45,888,887,488,399,1,55.0169,10.0225,89,51.7284,2.9883,71.1821,0.5645,4.8791,17,10,6,5,0,15.942,"research_candidate"
5,46,851,850,466,384,1,54.8235,9.6357,82,51.4636,2.8126,72.2962,0.7367,4.6758,16,10,6,6,5.8824,13.6364,"research_candidate"
5,47,817,816,445,371,1,54.5343,9.0575,74,51.1045,2.5905,73.3686,0.8726,4.489,17,10,6,6,3.125,14.2857,"research_candidate"
5,48,786,785,424,361,1,54.0127,8.0153,63,50.5152,2.2486,74.3911,1.0701,4.3187,17,10,6,5,-3.4483,17.6471,"research_candidate"
5,49,751,750,407,343,1,54.2667,8.522,64,50.6886,2.3369,75.5986,1.1365,4.1264,18,10,6,5,0,16.0714,"research_candidate"
5,50,715,714,382,332,1,53.5014,6.993,50,49.8339,1.8712,76.9087,1.8933,3.9286,18,9,6,5,-0.7519,14.2857,"watch_only"
10,1,23956,23877,12223,11654,79,51.1915,2.3752,569,50.5573,3.6823,12.669,-0.0321,131.6264,63,13,7,7,0.6046,5.7063,"watch_only"
10,2,21821,21752,11178,10574,69,51.3884,2.768,604,50.724,4.0953,13.7631,-0.0219,119.8956,56,12,7,6,-1.1799,6.3362,"watch_only"
10,3,19834,19771,10175,9596,63,51.4643,2.9192,579,50.7674,4.1178,14.8917,-0.0087,108.978,67,12,7,6,-0.9466,6.7431,"watch_only"
10,4,18082,18029,9306,8723,53,51.6168,3.2242,583,50.8871,4.3419,15.9969,0.0078,99.3516,78,10,7,6,-1.2884,7.7493,"research_candidate"
10,5,16325,16281,8430,7851,44,51.7781,3.5467,579,51.0103,4.5377,17.2346,0.0296,89.6978,73,10,7,7,0.6782,8.7332,"research_candidate"
10,6,14745,14707,7626,7081,38,51.8529,3.6962,545,51.0449,4.494,18.4935,-0.0186,81.0165,80,9,7,7,0.4257,9.1015,"research_candidate"
10,7,13260,13229,6917,6312,31,52.2866,4.5626,605,51.4349,5.2601,19.8372,-0.1244,72.8571,67,10,7,7,1.829,10.0509,"research_candidate"
10,8,12024,11999,6305,5694,25,52.546,5.0815,611,51.6519,5.5779,21.1056,-0.1958,66.0659,58,9,7,7,1.6551,10.5697,"research_candidate"
10,9,10929,10909,5757,5152,20,52.7729,5.5357,605,51.8353,5.7925,22.3711,-0.2096,60.0495,53,10,7,7,1.8788,10.2026,"research_candidate"
10,10,9851,9831,5211,4620,20,53.0058,5.9994,591,52.0182,5.9606,23.7808,-0.2317,54.1264,44,9,7,7,2.2483,9.611,"research_candidate"
10,11,8912,8893,4771,4122,19,53.6489,7.2823,649,52.6111,6.8821,25.1798,-0.3491,48.967,26,10,7,7,3.8095,11.5929,"research_candidate"
10,12,8092,8079,4348,3731,13,53.8185,7.6248,617,52.7299,6.8645,26.5656,-0.3874,44.4615,35,10,7,7,4.9815,11.4801,"research_candidate"
10,13,7389,7377,3956,3421,12,53.6261,7.2405,535,52.4865,6.2289,27.9047,-0.2661,40.5989,37,10,7,7,4.6948,11.3265,"research_candidate"
10,14,6767,6758,3639,3119,9,53.8473,7.6844,520,52.6569,6.3255,29.2291,-0.3325,37.1813,33,10,7,7,4.9635,10.9051,"research_candidate"
10,15,6243,6234,3349,2885,9,53.7215,7.4323,464,52.4819,5.8767,30.4665,-0.2262,34.3022,28,10,7,7,4.1245,11.5519,"research_candidate"
10,16,5705,5696,3046,2650,9,53.4761,6.9413,396,52.1789,5.247,31.8788,-0.0901,31.3462,30,14,7,7,4.0859,12.3217,"research_candidate"
