asset_symbol,market_start_utc,sampled_at_utc,counter_start_market_start_utc,up_count,down_count,diff,diff_count,processed_market_count,counter_initialized,history_fetch_failed
"BTC","2026-06-09T03:00:00Z","2026-06-09T03:09:56Z","2026-06-08T21:10:00Z",36,35,1,-136,71,true,false
"ETH","2026-06-09T03:00:00Z","2026-06-09T03:09:56Z","2026-06-08T21:10:00Z",35,36,-1,-168,71,true,false
"SOL","2026-06-09T03:00:00Z","2026-06-09T03:09:56Z","2026-06-08T21:10:00Z",37,34,3,-240,71,true,false
"BTC","2026-06-09T03:05:00Z","2026-06-09T03:14:57Z","2026-06-08T21:10:00Z",36,36,0,-136,72,true,false
"ETH","2026-06-09T03:05:00Z","2026-06-09T03:14:57Z","2026-06-08T21:10:00Z",35,37,-2,-170,72,true,false
"SOL","2026-06-09T03:05:00Z","2026-06-09T03:14:57Z","2026-06-08T21:10:00Z",38,34,4,-236,72,true,false
"BTC","2026-06-09T03:10:00Z","2026-06-09T03:19:59Z","2026-06-08T21:10:00Z",37,36,1,-135,73,true,false
"ETH","2026-06-09T03:10:00Z","2026-06-09T03:19:59Z","2026-06-08T21:10:00Z",36,37,-1,-171,73,true,false
"SOL","2026-06-09T03:10:00Z","2026-06-09T03:19:59Z","2026-06-08T21:10:00Z",39,34,5,-231,73,true,false
"BTC","2026-06-09T03:15:00Z","2026-06-09T03:24:58Z","2026-06-08T21:10:00Z",37,37,0,-135,74,true,false
"ETH","2026-06-09T03:15:00Z","2026-06-09T03:24:58Z","2026-06-08T21:10:00Z",37,37,0,-171,74,true,false
"SOL","2026-06-09T03:15:00Z","2026-06-09T03:24:58Z","2026-06-08T21:10:00Z",40,34,6,-225,74,true,false
"BTC","2026-06-09T03:20:00Z","2026-06-09T03:29:58Z","2026-06-08T21:10:00Z",37,38,-1,-136,75,true,false
"ETH","2026-06-09T03:20:00Z","2026-06-09T03:29:58Z","2026-06-08T21:10:00Z",37,38,-1,-172,75,true,false
"SOL","2026-06-09T03:20:00Z","2026-06-09T03:29:58Z","2026-06-08T21:10:00Z",40,35,5,-220,75,true,false
"BTC","2026-06-09T03:25:00Z","2026-06-09T03:34:40Z","2026-06-08T21:10:00Z",38,38,0,-136,76,true,false
"ETH","2026-06-09T03:25:00Z","2026-06-09T03:34:40Z","2026-06-08T21:10:00Z",38,38,0,-172,76,true,false
"SOL","2026-06-09T03:25:00Z","2026-06-09T03:34:40Z","2026-06-08T21:10:00Z",41,35,6,-214,76,true,false
