asset_symbol	market_start_utc	sampled_at_utc	counter_start_market_start_utc	up_count	down_count	diff	diff_count	processed_market_count	counter_initialized	last_included_market_start_utc	high_water_market_start_utc	history_fetch_failed
BTC	2026-06-09T02:00:00Z	2026-06-09T02:09:56.455Z	2026-06-08T21:10:00Z	30	29	1	-132	59	True	2026-06-09T02:00:00Z	2026-06-09T02:00:00Z	False
ETH	2026-06-09T02:00:00Z	2026-06-09T02:09:56.455Z	2026-06-08T21:10:00Z	28	31	-3	-140	59	True	2026-06-09T02:00:00Z	2026-06-09T02:00:00Z	False
SOL	2026-06-09T02:00:00Z	2026-06-09T02:09:56.455Z	2026-06-08T21:10:00Z	30	29	1	-260	59	True	2026-06-09T02:00:00Z	2026-06-09T02:00:00Z	False
BTC	2026-06-09T02:05:00Z	2026-06-09T02:14:57.418Z	2026-06-08T21:10:00Z	30	30	0	-132	60	True	2026-06-09T02:05:00Z	2026-06-09T02:05:00Z	False
ETH	2026-06-09T02:05:00Z	2026-06-09T02:14:57.418Z	2026-06-08T21:10:00Z	29	31	-2	-142	60	True	2026-06-09T02:05:00Z	2026-06-09T02:05:00Z	False
SOL	2026-06-09T02:05:00Z	2026-06-09T02:14:57.418Z	2026-06-08T21:10:00Z	31	29	2	-258	60	True	2026-06-09T02:05:00Z	2026-06-09T02:05:00Z	False
BTC	2026-06-09T02:10:00Z	2026-06-09T02:19:56.485Z	2026-06-08T21:10:00Z	30	31	-1	-133	61	True	2026-06-09T02:10:00Z	2026-06-09T02:10:00Z	False
ETH	2026-06-09T02:10:00Z	2026-06-09T02:19:56.485Z	2026-06-08T21:10:00Z	29	32	-3	-145	61	True	2026-06-09T02:10:00Z	2026-06-09T02:10:00Z	False
SOL	2026-06-09T02:10:00Z	2026-06-09T02:19:56.485Z	2026-06-08T21:10:00Z	31	30	1	-257	61	True	2026-06-09T02:10:00Z	2026-06-09T02:10:00Z	False
BTC	2026-06-09T02:15:00Z	2026-06-09T02:24:57.034Z	2026-06-08T21:10:00Z	30	32	-2	-135	62	True	2026-06-09T02:15:00Z	2026-06-09T02:15:00Z	False
ETH	2026-06-09T02:15:00Z	2026-06-09T02:24:57.034Z	2026-06-08T21:10:00Z	29	33	-4	-149	62	True	2026-06-09T02:15:00Z	2026-06-09T02:15:00Z	False
SOL	2026-06-09T02:15:00Z	2026-06-09T02:24:57.034Z	2026-06-08T21:10:00Z	31	31	0	-257	62	True	2026-06-09T02:15:00Z	2026-06-09T02:15:00Z	False
BTC	2026-06-09T02:20:00Z	2026-06-09T02:29:59.918Z	2026-06-08T21:10:00Z	31	32	-1	-136	63	True	2026-06-09T02:20:00Z	2026-06-09T02:20:00Z	False
ETH	2026-06-09T02:20:00Z	2026-06-09T02:29:59.918Z	2026-06-08T21:10:00Z	30	33	-3	-152	63	True	2026-06-09T02:20:00Z	2026-06-09T02:20:00Z	False
SOL	2026-06-09T02:20:00Z	2026-06-09T02:29:59.918Z	2026-06-08T21:10:00Z	32	31	1	-256	63	True	2026-06-09T02:20:00Z	2026-06-09T02:20:00Z	False
BTC	2026-06-09T02:25:00Z	2026-06-09T02:34:55.320Z	2026-06-08T21:10:00Z	32	32	0	-136	64	True	2026-06-09T02:25:00Z	2026-06-09T02:25:00Z	False
ETH	2026-06-09T02:25:00Z	2026-06-09T02:34:55.320Z	2026-06-08T21:10:00Z	31	33	-2	-154	64	True	2026-06-09T02:25:00Z	2026-06-09T02:25:00Z	False
SOL	2026-06-09T02:25:00Z	2026-06-09T02:34:55.320Z	2026-06-08T21:10:00Z	33	31	2	-254	64	True	2026-06-09T02:25:00Z	2026-06-09T02:25:00Z	False
BTC	2026-06-09T02:30:00Z	2026-06-09T02:39:57.716Z	2026-06-08T21:10:00Z	32	33	-1	-137	65	True	2026-06-09T02:30:00Z	2026-06-09T02:30:00Z	False
ETH	2026-06-09T02:30:00Z	2026-06-09T02:39:57.716Z	2026-06-08T21:10:00Z	31	34	-3	-157	65	True	2026-06-09T02:30:00Z	2026-06-09T02:30:00Z	False
SOL	2026-06-09T02:30:00Z	2026-06-09T02:39:57.716Z	2026-06-08T21:10:00Z	33	32	1	-253	65	True	2026-06-09T02:30:00Z	2026-06-09T02:30:00Z	False
BTC	2026-06-09T02:35:00Z	2026-06-09T02:44:56.967Z	2026-06-08T21:10:00Z	32	34	-2	-139	66	True	2026-06-09T02:35:00Z	2026-06-09T02:35:00Z	False
ETH	2026-06-09T02:35:00Z	2026-06-09T02:44:56.967Z	2026-06-08T21:10:00Z	31	35	-4	-161	66	True	2026-06-09T02:35:00Z	2026-06-09T02:35:00Z	False
SOL	2026-06-09T02:35:00Z	2026-06-09T02:44:56.967Z	2026-06-08T21:10:00Z	33	33	0	-253	66	True	2026-06-09T02:35:00Z	2026-06-09T02:35:00Z	False
