asset,strategy_name,diff_group,threshold,target_outcome,signal_markets,max_abs_diff_seen,instant_bets,instant_wins,instant_losses,instant_win_rate,instant_pnl_per_1usd,instant_roi_pct,instant_avg_entry_price,instant_price_above_cap,instant_missing_entry_price,instant_unsettled,strong_bets,strong_wins,strong_losses,strong_win_rate,strong_pnl_per_1usd,strong_roi_pct,strong_avg_entry_price,strong_price_above_cap,strong_missing_entry_price,strong_unsettled,binance_bets,binance_wins,binance_losses,binance_win_rate,binance_pnl_per_1usd,binance_roi_pct,binance_avg_entry_price,binance_price_above_cap,binance_missing_entry_price,binance_unsettled
"SOL","SOL Up or Down 5m Down 125 Diff Instant","Down",125,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 130 Diff Instant","Down",130,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 135 Diff Instant","Down",135,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 140 Diff Instant","Down",140,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 145 Diff Instant","Down",145,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Down 150 Diff Instant","Down",150,"Up",0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,,,0,0,0
"SOL","SOL Up or Down 5m Up 1 Diff Instant","Up",1,"Down",2434,17,2212,1057,1155,47.78481013,-147.50060566,-6.66820098,0.51368897,94,0,128,2306,1116,1190,48.39549003,-74,-3.20901995,0.5,0,0,128,2349,1159,1190,49.34014474,-31,-1.31971052,0.5,0,0,85
"SOL","SOL Up or Down 5m Up 2 Diff Instant","Up",2,"Down",1579,17,1428,681,747,47.68907563,-97.77949936,-6.84730388,0.51443277,66,0,85,1494,720,774,48.19277108,-54,-3.61445783,0.5,0,0,85,1526,744,782,48.75491481,-38,-2.49017038,0.5,0,0,53
"SOL","SOL Up or Down 5m Up 3 Diff Instant","Up",3,"Down",984,17,895,434,461,48.49162011,-44.83281871,-5.00925349,0.51487151,49,0,40,944,465,479,49.25847458,-14,-1.48305085,0.5,0,0,40,951,469,482,49.31650894,-13,-1.36698212,0.5,0,0,33
"SOL","SOL Up or Down 5m Up 4 Diff Instant","Up",4,"Down",569,17,520,250,270,48.07692308,-26.32984116,-5.06343099,0.51284615,24,0,25,544,265,279,48.71323529,-14,-2.57352941,0.5,0,0,25,552,276,276,50,0,0,0.5,0,0,17
"SOL","SOL Up or Down 5m Up 5 Diff Instant","Up",5,"Down",376,17,346,165,181,47.68786127,-20.15195689,-5.824265,0.51092486,14,0,16,360,174,186,48.33333333,-12,-3.33333333,0.5,0,0,16,361,182,179,50.41551247,3,0.83102493,0.5,0,0,15
